Student_ID,Gender,Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Math_Score,Science_Score,English_Score
S001,Female,7.7,78.0,70.0,4,8.6,46,61,91
S002,Male,5.8,68.6,90.0,3,5.7,91,47,55
S003,Female,1.4,86.7,40.0,10,5.9,47,55,72
S004,Male,3.2,61.9,74.0,5,6.6,95,44,79
S005,Female,5.1,63.3,60.0,7,8.8,92,74,58
S006,Female,,70.2,55.0,5,7.2,75,82,63
S007,Female,7.8,71.3,60.0,10,6.1,54,80,95
S008,Female,7.6,63.9,57.0,9,6.2,68,73,79
S009,Male,6.9,94.5,50.0,6,8.6,93,53,73
S010,Female,4.3,90.6,40.0,4,8.2,49,64,70
S011,Male,16.0,59.6,40.0,7,5.1,90,42,84
S012,Female,1.9,70.9,74.0,3,5.6,89,63,70
S013,Male,3.2,65.0,75.0,10,6.2,81,85,79
S014,Female,4.2,74.4,95.0,9,5.5,75,43,78
S015,Male,6.2,66.9,94.0,6,7.0,61,56,52
S016,Male,4.4,76.6,68.0,8,5.5,50,60,53
S017,Male,2.0,94.7,81.0,6,7.1,84,77,76
S018,Male,3.4,71.4,75.0,6,8.7,90,52,84
S019,Female,3.3,83.0,61.0,9,8.3,46,76,63
S020,Male,3.1,,78.0,9,4.9,71,91,64
S021,Male,2.2,87.3,85.0,7,5.4,77,48,93
S022,Male,3.9,57.7,64.0,4,6.4,92,52,69
S023,Female,4.1,87.0,62.0,8,7.4,58,88,50
S024,Female,6.4,95.7,63.0,8,6.2,56,68,69
S025,Male,6.6,81.0,68.0,10,5.6,84,88,77
S026,Male,4.7,67.4,91.0,4,6.1,56,56,52
S027,Female,4.2,83.9,51.0,9,5.4,78,49,94
S028,Female,6.4,85.6,51.0,9,8.4,82,71,69
S029,Male,7.2,83.2,93.0,5,7.6,69,72,93
S030,Male,5.7,61.3,62.0,7,6.3,71,84,55
S031,Female,6.6,96.9,68.0,4,7.7,65,87,68
S032,Male,7.6,96.1,76.0,9,6.8,77,66,68
S033,Male,1.3,73.3,42.0,8,6.9,83,86,68
S034,Female,7.1,80.5,,10,6.2,73,50,94
S035,Female,2.9,56.7,79.0,9,6.7,63,67,62
S036,Male,4.3,97.5,81.0,4,8.9,93,73,50
S037,Male,6.6,90.2,94.0,3,8.0,46,83,95
S038,Female,6.0,82.4,82.0,6,8.2,89,84,56
S039,Female,2.0,87.7,48.0,3,5.1,55,66,55
S040,Male,5.6,63.1,78.0,9,6.8,55,56,70
S041,Female,1.5,68.2,66.0,6,6.2,93,77,86
S042,Female,3.5,65.6,57.0,5,4.9,85,57,61
S043,Male,6.7,25.0,56.0,5,6.3,47,52,61
S044,Male,4.0,59.0,47.0,5,4.8,76,75,72
S045,Male,5.2,93.5,94.0,6,5.6,84,52,62
S046,Female,6.1,74.9,93.0,8,8.1,76,84,64
S047,Male,6.7,74.1,44.0,4,7.6,94,90,54
S048,Male,6.3,59.5,86.0,7,7.6,60,69,76
S049,Male,1.1,84.5,43.0,4,4.9,90,86,86
S050,Male,3.9,90.1,88.0,7,5.2,51,91,52
S051,Female,4.2,82.1,63.0,4,4.6,65,71,95
S052,Female,1.4,65.4,86.0,8,4.9,67,73,94
S053,Female,4.8,88.8,68.0,6,5.0,53,50,87
S054,Female,5.3,61.3,84.0,8,8.8,62,85,90
S055,Male,6.8,90.6,76.0,9,8.5,76,90,51
S056,Female,7.6,80.0,71.0,10,5.4,52,50,67
S057,Male,1.9,67.4,88.0,5,5.6,87,65,59
S058,Female,2.6,77.1,80.0,6,8.8,54,78,78
S059,Male,5.6,82.0,61.0,9,7.1,72,58,84
S060,Male,1.9,66.1,40.0,8,6.2,82,47,64
S061,Male,2.6,91.4,68.0,8,6.6,76,73,50
S062,Female,5.0,73.1,47.0,3,,53,84,58
S063,Female,2.2,93.4,83.0,10,7.1,83,54,56
S064,Male,6.5,90.9,66.0,9,7.8,94,86,93
S065,Male,7.0,59.3,45.0,3,6.8,91,61,88
S066,Male,1.2,82.8,52.0,5,8.2,45,45,50
S067,Female,4.7,68.4,41.0,7,5.0,76,54,91
S068,Female,6.6,87.4,61.0,3,7.2,68,80,79
S069,Male,7.8,78.3,65.0,10,9.0,77,91,53
S070,Female,2.9,74.7,92.0,7,5.2,52,91,54
S071,Female,2.2,93.5,89.0,8,6.7,45,54,56
S072,Male,7.1,57.5,65.0,7,7.3,75,76,80
S073,Female,7.4,79.0,94.0,7,6.0,72,90,87
S074,Female,2.4,69.1,61.0,8,8.8,80,47,67
S075,Female,4.1,56.5,78.0,3,6.7,93,58,87
S076,Male,6.0,87.4,83.0,7,6.7,5,77,72
S077,Female,6.9,79.2,77.0,10,8.6,45,46,91
S078,Male,2.2,93.4,65.0,5,4.6,85,68,85
S079,Female,5.7,80.7,44.0,3,8.4,47,87,69
S080,Male,6.7,69.5,69.0,9,5.1,51,59,96
S081,Female,4.8,97.4,62.0,6,6.2,79,93,81
S082,Female,2.2,60.0,72.0,6,6.7,93,82,77
S083,Female,1.2,57.3,62.0,4,6.6,94,63,58
S084,Female,3.0,86.5,74.0,3,4.7,58,46,67
S085,Female,6.7,70.9,50.0,10,5.9,90,60,73
S086,Female,1.3,70.5,53.0,9,6.1,73,75,69
S087,Female,1.1,92.7,75.0,3,8.8,49,45,75
S088,Female,3.5,69.1,73.0,6,8.6,92,56,68
S089,,1.4,93.2,78.0,9,7.1,65,45,94
S090,Female,2.0,82.7,79.0,10,8.7,62,91,71
S091,Female,1.2,69.1,88.0,9,8.4,84,48,51
S092,Female,4.7,57.6,56.0,7,6.2,67,64,74
S093,Male,5.9,65.5,44.0,6,5.0,63,71,89
S094,Female,4.0,96.6,63.0,3,7.2,76,49,70
S095,Female,1.9,72.4,40.0,9,6.0,68,43,86
S096,Female,3.3,61.9,58.0,5,4.5,59,55,77
S097,Female,5.1,67.8,49.0,9,8.9,61,61,74
S098,Female,7.6,93.7,46.0,10,8.9,62,80,78
S099,Female,7.9,62.1,57.0,4,6.9,52,46,69
S100,Female,2.7,88.4,42.0,9,7.3,52,58,57
S021,Male,2.2,87.3,85.0,7,5.4,77,48,93
S051,Female,4.2,82.1,63.0,4,4.6,65,71,95
S103,Male,7.5,77.8,42.0,6,6.6,93,61,87
S104,Male,4.2,56.9,71.0,4,7.1,45,50,71
S105,Female,6.4,95.0,48.0,10,5.5,66,76,59
S106,Female,7.1,70.4,53.0,5,5.6,74,57,83
S107,Female,5.3,86.5,68.0,8,6.8,75,82,94
S108,Female,7.1,77.5,81.0,7,5.5,54,68,66
S109,Male,1.2,59.0,66.0,7,4.6,90,45,79
S110,Female,2.9,59.6,79.0,5,6.2,93,67,80
S111,Male,2.9,61.4,58.0,4,7.9,54,70,63
S112,Male,1.8,61.9,60.0,4,5.7,46,44,92
S113,Female,7.4,57.3,63.0,8,8.4,65,75,90
S114,Female,1.2,57.0,95.0,7,7.7,61,83,84
